Date,Category,Value
2016-05-11,Magnificent 7,1565.1637110144084
2016-05-11,Rest of S&P 500,14537.62398429809
2016-05-12,Magnificent 7,1563.6424005735562
2016-05-12,Rest of S&P 500,14536.416437317068
2016-05-13,Magnificent 7,1558.4881712209783
2016-05-13,Rest of S&P 500,14405.069714521209
2016-05-16,Magnificent 7,1575.1066044803886
2016-05-16,Rest of S&P 500,14544.840709972736
2016-05-17,Magnificent 7,1552.70031275853
2016-05-17,Rest of S&P 500,14415.53738255397
2016-05-18,Magnificent 7,1562.6466032294431
2016-05-18,Rest of S&P 500,14408.867434856495
2016-05-19,Magnificent 7,1556.0924268612323
2016-05-19,Rest of S&P 500,14356.219877826266
2016-05-20,Magnificent 7,1568.4038161378685
2016-05-20,Rest of S&P 500,14439.692717065256
2016-05-23,Magnificent 7,1560.2195028951714
2016-05-23,Rest of S&P 500,14414.492801792328
2016-05-24,Magnificent 7,1588.7719054032705
2016-05-24,Rest of S&P 500,14604.49655162798
2016-05-25,Magnificent 7,1602.4178567554698
2016-05-25,Rest of S&P 500,14703.79444793203
2016-05-26,Magnificent 7,1611.6653055072823
2016-05-26,Rest of S&P 500,14691.115456211468
2016-05-27,Magnificent 7,1615.449763273147
2016-05-27,Rest of S&P 500,14757.218693758103
2016-05-31,Magnificent 7,1623.5844448864154
2016-05-31,Rest of S&P 500,14732.62517425421
2016-06-01,Magnificent 7,1615.1481676637438
2016-06-01,Rest of S&P 500,14759.626441711256
2016-06-02,Magnificent 7,1614.0938329961334
2016-06-02,Rest of S&P 500,14806.934243175741
2016-06-03,Magnificent 7,1604.9579134535174
2016-06-03,Rest of S&P 500,14768.255172483981
2016-06-06,Magnificent 7,1609.4793096082058
2016-06-06,Rest of S&P 500,14843.918004844916
2016-06-07,Magnificent 7,1609.738276405375
2016-06-07,Rest of S&P 500,14864.874809532126
2016-06-08,Magnificent 7,1615.989018624174
2016-06-08,Rest of S&P 500,14913.147895438326
2016-06-09,Magnificent 7,1615.748977838893
2016-06-09,Rest of S&P 500,14884.994869817356
2016-06-10,Magnificent 7,1596.9130229808898
2016-06-10,Rest of S&P 500,14752.433510222236
2016-06-13,Magnificent 7,1575.6100476277138
2016-06-13,Rest of S&P 500,14641.058409403537
2016-06-14,Magnificent 7,1578.0856710315213
2016-06-14,Rest of S&P 500,14609.410862171602
2016-06-15,Magnificent 7,1573.2408966823514
2016-06-15,Rest of S&P 500,14584.459103317648
2016-06-16,Magnificent 7,1578.396019897112
2016-06-16,Rest of S&P 500,14629.925903931013
2016-06-17,Magnificent 7,1553.470330431792
2016-06-17,Rest of S&P 500,14602.045441052584
2016-06-20,Magnificent 7,1559.1119845390624
2016-06-20,Rest of S&P 500,14690.238015460938
2016-06-21,Magnificent 7,1572.9893922931185
2016-06-21,Rest of S&P 500,14720.42984598813
2016-06-22,Magnificent 7,1561.9955741106135
2016-06-22,Rest of S&P 500,14704.514045030011
2016-06-23,Magnificent 7,1580.555401534824
2016-06-23,Rest of S&P 500,14903.341131668301
2016-06-24,Magnificent 7,1527.9368489944293
2016-06-24,Rest of S&P 500,14363.861417607131
2016-06-27,Magnificent 7,1503.0508030533892
2016-06-27,Rest of S&P 500,14101.161501634111
2016-06-28,Magnificent 7,1535.918052403484
2016-06-28,Rest of S&P 500,14345.583680994954
2016-06-29,Magnificent 7,1556.6028653697201
2016-06-29,Rest of S&P 500,14595.40328697403
2016-06-30,Magnificent 7,1568.1632110020894
2016-06-30,Rest of S&P 500,14802.945626888535
2016-07-01,Magnificent 7,1576.9254046572069
2016-07-01,Rest of S&P 500,14826.084214483417
2016-07-05,Magnificent 7,1573.5777489026623
2016-07-05,Rest of S&P 500,14717.112631956712
2016-07-06,Magnificent 7,1588.7379310989681
2016-07-06,Rest of S&P 500,14789.15591655728
2016-07-07,Magnificent 7,1588.3023898992774
2016-07-07,Rest of S&P 500,14775.316848381972
2016-07-08,Magnificent 7,1609.2109584067607
2016-07-08,Rest of S&P 500,15004.00827987449
2016-07-11,Magnificent 7,1622.9532487314386
2016-07-11,Rest of S&P 500,15046.894065721684
2016-07-12,Magnificent 7,1627.6516085910944
2016-07-12,Rest of S&P 500,15159.03955351828
2016-07-13,Magnificent 7,1620.9490550129933
2016-07-13,Rest of S&P 500,15168.004411783879
2016-07-14,Magnificent 7,1631.2035461303608
2016-07-14,Rest of S&P 500,15246.04645386964
2016-07-15,Magnificent 7,1626.2265780464138
2016-07-15,Rest of S&P 500,15235.34534578171
2016-07-18,Magnificent 7,1643.7854436803257
2016-07-18,Rest of S&P 500,15257.955718429048
2016-07-19,Magnificent 7,1643.1051125749982
2016-07-19,Rest of S&P 500,15234.379115940625
2016-07-20,Magnificent 7,1670.106591104726
2016-07-20,Rest of S&P 500,15279.449561239024
2016-07-21,Magnificent 7,1660.9585580805613
2016-07-21,Rest of S&P 500,15227.366832544438
2016-07-22,Magnificent 7,1667.1845152787132
2016-07-22,Rest of S&P 500,15298.04971323691
2016-07-25,Magnificent 7,1664.1595725648294
2016-07-25,Rest of S&P 500,15249.984275091421
2016-07-26,Magnificent 7,1659.556939942115
2016-07-26,Rest of S&P 500,15260.04652685476
2016-07-27,Magnificent 7,1682.8068637430417
2016-07-27,Rest of S&P 500,15216.517745631956
2016-07-28,Magnificent 7,1701.3963171663277
2016-07-28,Rest of S&P 500,15225.072139864922
2016-07-29,Magnificent 7,1713.9227904918152
2016-07-29,Rest of S&P 500,15240.157971226934
2016-08-01,Magnificent 7,1726.5307342215413
2016-08-01,Rest of S&P 500,15206.021951325332
2016-08-02,Magnificent 7,1713.5001269429943
2016-08-02,Rest of S&P 500,15111.334101572631
2016-08-03,Magnificent 7,1715.4888845041469
2016-08-03,Rest of S&P 500,15162.073420183355
2016-08-04,Magnificent 7,1728.9510801988113
2016-08-04,Rest of S&P 500,15152.198919801187
2016-08-05,Magnificent 7,1745.9102173071653
2016-08-05,Rest of S&P 500,15280.476696755333
2016-08-08,Magnificent 7,1749.1068963591922
2016-08-08,Rest of S&P 500,15261.834265750183
2016-08-09,Magnificent 7,1753.4111687469722
2016-08-09,Rest of S&P 500,15264.160755081151
2016-08-10,Magnificent 7,1748.5271367062278
2016-08-10,Rest of S&P 500,15220.294787121897
2016-08-11,Magnificent 7,1752.0760544715615
2016-08-11,Rest of S&P 500,15297.086250215938
2016-08-12,Magnificent 7,1753.0247823678662
2016-08-12,Rest of S&P 500,15282.56559849151
2016-08-15,Magnificent 7,1753.9658980378817
2016-08-15,Rest of S&P 500,15329.20334024337
2016-08-16,Magnificent 7,1745.7807174593645
2016-08-16,Rest of S&P 500,15243.788520821883
2016-08-17,Magnificent 7,1748.941851358199
2016-08-17,Rest of S&P 500,15272.373920126174
2016-08-18,Magnificent 7,1747.5018283123507
2016-08-18,Rest of S&P 500,15311.2543240314
2016-08-19,Magnificent 7,1743.534310882807
2016-08-19,Rest of S&P 500,15290.652603179691
2016-08-22,Magnificent 7,1742.3393641753269
2016-08-22,Rest of S&P 500,15282.251797934046
2016-08-23,Magnificent 7,1747.637531084008
2016-08-23,Rest of S&P 500,15310.18170719724
2016-08-24,Magnificent 7,1738.6159548725514
2016-08-24,Rest of S&P 500,15229.815588096197
2016-08-25,Magnificent 7,1739.1813213299963
2016-08-25,Rest of S&P 500,15206.084450154378
2016-08-26,Magnificent 7,1744.2988768201362
2016-08-26,Rest of S&P 500,15174.213427867362
2016-08-29,Magnificent 7,1748.6664768384348
2016-08-29,Rest of S&P 500,15258.296609099065
2016-08-30,Magnificent 7,1738.797257908838
2016-08-30,Rest of S&P 500,15234.93965615366
2016-08-31,Magnificent 7,1737.1079612234817
2016-08-31,Rest of S&P 500,15196.301657917142
2016-09-01,Magnificent 7,1740.032244183277
2016-09-01,Rest of S&P 500,15192.676593707345
2016-09-02,Magnificent 7,1746.2072378786622
2016-09-02,Rest of S&P 500,15257.636609777586
2016-09-06,Magnificent 7,1766.1526743643103
2016-09-06,Rest of S&P 500,15288.391173291939
2016-09-07,Magnificent 7,1768.4188956427402
2016-09-07,Rest of S&P 500,15283.628418810384
2016-09-08,Magnificent 7,1753.172316237023
2016-09-08,Rest of S&P 500,15260.968064622351
2016-09-09,Magnificent 7,1710.669941475925
2016-09-09,Rest of S&P 500,14886.248515555326
2016-09-12,Magnificent 7,1738.1558685601733
2016-09-12,Rest of S&P 500,15102.356436127324
2016-09-13,Magnificent 7,1730.4590067477009
2016-09-13,Rest of S&P 500,14860.29714559605
2016-09-14,Magnificent 7,1743.763335448202
2016-09-14,Rest of S&P 500,14837.242816895548
2016-09-15,Magnificent 7,1774.0374645991624
2016-09-15,Rest of S&P 500,14974.590611572712
2016-09-16,Magnificent 7,1778.7637406309652
2016-09-16,Rest of S&P 500,14906.68357382216
2016-09-19,Magnificent 7,1769.3201435334825
2016-09-19,Rest of S&P 500,14915.816770529016
2016-09-20,Magnificent 7,1771.7490083685677
2016-09-20,Rest of S&P 500,14918.379067803306
2016-09-21,Magnificent 7,1788.596271245583
2016-09-21,Rest of S&P 500,15083.740642816916
2016-09-22,Magnificent 7,1804.4385899553115
2016-09-22,Rest of S&P 500,15177.564876841565
2016-09-23,Magnificent 7,1791.2472685944424
2016-09-23,Rest of S&P 500,15093.334274374307
2016-09-26,Magnificent 7,1779.79429471906
2016-09-26,Rest of S&P 500,14959.786466999689
2016-09-27,Magnificent 7,1802.4707442766512
2016-09-27,Rest of S&P 500,15044.98272252022
2016-09-28,Magnificent 7,1813.8771039787603
