Date,Value,Ticker,Type
2016-12-02,249.7885559616197,META,Mag 7
2016-12-05,254.18258447747337,META,Mag 7
2016-12-06,253.9228103012073,META,Mag 7
2016-12-07,255.30813410815568,META,Mag 7
2016-12-08,257.38611151059,META,Mag 7
2016-12-09,259.0527770312736,META,Mag 7
2016-12-12,254.91850607570953,META,Mag 7
2016-12-13,260.41643360489394,META,Mag 7
2016-12-14,260.2000105112605,META,Mag 7
2016-12-15,260.9792665761528,META,Mag 7
2016-12-16,259.46405568107133,META,Mag 7
2016-12-19,258.1003658754981,META,Mag 7
2016-12-20,257.7757229270597,META,Mag 7
2016-12-21,257.6675030722547,META,Mag 7
2016-12-22,254.11764924139507,META,Mag 7
2016-12-23,253.8362410637539,META,Mag 7
2016-12-27,255.43800458031222,META,Mag 7
2016-12-28,253.0786356162132,META,Mag 7
2016-12-29,251.84484951474946,META,Mag 7
2016-12-30,249.03095051407897,META,Mag 7
2017-01-03,252.94878176003314,META,Mag 7
2017-01-04,256.9099308566669,META,Mag 7
2017-01-05,261.19568966978625,META,Mag 7
2017-01-06,267.1265796980729,META,Mag 7
2017-01-09,270.3517407325646,META,Mag 7
2017-01-10,269.1612226338511,META,Mag 7
2017-01-11,272.92754940627356,META,Mag 7
2017-01-12,274.0747496543075,META,Mag 7
2017-01-13,277.7977918080033,META,Mag 7
2017-01-17,276.78042880017296,META,Mag 7
2017-01-18,276.88864865497794,META,Mag 7
2017-01-19,276.08779182066354,META,Mag 7
2017-01-20,274.9838429594033,META,Mag 7
2017-01-23,279.07482929624075,META,Mag 7
2017-01-24,280.0272902999457,META,Mag 7
2017-01-25,284.59442405875325,META,Mag 7
2017-01-26,287.40837290735317,META,Mag 7
2017-01-27,286.10956848992873,META,Mag 7
2017-01-30,283.5121590467976,META,Mag 7
2017-01-31,282.0835838530755,META,Mag 7
2017-02-01,288.3823682165743,META,Mag 7
2017-02-02,283.2091168677813,META,Mag 7
2017-02-03,283.5121590467976,META,Mag 7
2017-02-06,285.84986077756855,META,Mag 7
2017-02-07,285.37364689169254,META,Mag 7
2017-02-08,290.4819962363602,META,Mag 7
2017-02-09,290.3521589961566,META,Mag 7
2017-02-10,290.4603622349851,META,Mag 7
2017-02-13,290.15732005596885,META,Mag 7
2017-02-14,289.724407404796,META,Mag 7
2017-02-15,288.8369481010753,META,Mag 7
2017-02-16,289.7028066353739,META,Mag 7
2017-02-17,289.03178704126304,META,Mag 7
2017-02-21,289.44303245910777,META,Mag 7
2017-02-22,294.63795104122886,META,Mag 7
2017-02-23,292.9928696739909,META,Mag 7
2017-02-24,293.16600814889773,META,Mag 7
2017-02-27,295.2656694006365,META,Mag 7
2017-02-28,293.38248109046054,META,Mag 7
2017-03-01,297.4518001939699,META,Mag 7
2017-03-02,296.0232250002478,META,Mag 7
2017-03-03,296.91065107201564,META,Mag 7
2017-03-06,297.4518001939699,META,Mag 7
2017-03-07,297.19209248160973,META,Mag 7
2017-03-08,298.1011857867057,META,Mag 7
2017-03-09,299.22675203336445,META,Mag 7
2017-03-10,300.4171870521956,META,Mag 7
2017-03-13,302.17053812216795,META,Mag 7
2017-03-14,301.5645202280413,META,Mag 7
2017-03-15,302.43031229843405,META,Mag 7
2017-03-16,303.01472942313853,META,Mag 7
2017-03-17,302.69002001079417,META,Mag 7
2017-03-20,302.90652618431005,META,Mag 7
2017-03-21,299.8112023900219,META,Mag 7
2017-03-22,302.14890412079285,META,Mag 7
2017-03-23,302.01900041668335,META,Mag 7
2017-03-24,303.7723182547028,META,Mag 7
2017-03-27,303.72901701999956,META,Mag 7
2017-03-28,306.8459415837098,META,Mag 7
2017-03-29,308.77239789663605,META,Mag 7
2017-03-30,308.25291600800983,META,Mag 7
2017-03-31,307.4736931750705,META,Mag 7
2017-04-03,307.9715410623216,META,Mag 7
2017-04-04,306.7810063476316,META,Mag 7
2017-04-05,307.0407472919447,META,Mag 7
2017-04-06,305.56883763156645,META,Mag 7
2017-04-07,304.72471279450184,META,Mag 7
2017-04-10,305.2874294539253,META,Mag 7
2017-04-11,302.86319171765393,META,Mag 7
2017-04-12,302.12727011941774,META,Mag 7
2017-04-13,301.71599146962,META,Mag 7
2017-04-17,306.1100199854737,META,Mag 7
2017-04-18,305.11432421097146,META,Mag 7
2017-04-19,307.94987382899353,META,Mag 7
2017-04-20,311.2616373328916,META,Mag 7
2017-04-21,311.0018631566256,META,Mag 7
2017-04-24,314.87640978385303,META,Mag 7
2017-04-25,317.08427427442035,META,Mag 7
2017-04-26,317.23577874795205,META,Mag 7
2017-04-27,319.7033509508795,META,Mag 7
2017-04-28,325.222945713392,META,Mag 7
2017-05-01,330.0066188776683,META,Mag 7
2017-05-02,330.6992724731542,META,Mag 7
2017-05-03,328.57801045199324,META,Mag 7
2017-05-04,326.5216836669105,META,Mag 7
2017-05-05,325.20131171201683,META,Mag 7
2017-05-08,326.9762303194584,META,Mag 7
2017-05-09,325.72082683259606,META,Mag 7
2017-05-10,325.3095149508453,META,Mag 7
2017-05-11,324.7683658288911,META,Mag 7
2017-05-12,325.3961174202517,META,Mag 7
2017-05-15,325.0930752412354,META,Mag 7
2017-05-16,324.20561593751466,META,Mag 7
2017-05-17,313.53437059563134,META,Mag 7
2017-05-18,319.6168149453791,META,Mag 7
2017-05-19,320.4826070157718,META,Mag 7
2017-05-22,320.87225166419444,META,Mag 7
2017-05-23,320.50427424909986,META,Mag 7
2017-05-24,324.7683658288911,META,Mag 7
2017-05-25,328.92435386571265,META,Mag 7
2017-05-26,329.29229804885426,META,Mag 7
2017-05-30,329.8334471708086,META,Mag 7
2017-05-31,327.8420888537571,META,Mag 7
2017-06-01,327.9935933272887,META,Mag 7
2017-06-02,332.49579185001795,META,Mag 7
2017-06-05,332.5390930847211,META,Mag 7
2017-06-06,330.76420770923255,META,Mag 7
2017-06-07,331.43519407139036,META,Mag 7
2017-06-08,334.87686127939793,META,Mag 7
2017-06-09,323.816004521045,META,Mag 7
2017-06-12,321.3051310834143,META,Mag 7
2017-06-13,326.153673019863,META,Mag 7
2017-06-14,325.222945713392,META,Mag 7
2017-06-15,324.24891717221783,META,Mag 7
2017-06-16,326.0671370143626,META,Mag 7
2017-06-19,330.8940449494361,META,Mag 7
2017-06-20,329.55207222512036,META,Mag 7
2017-06-21,333.14517744275366,META,Mag 7
2017-06-22,332.04124519746995,META,Mag 7
2017-06-23,335.6560841123373,META,Mag 7
2017-06-26,332.4525238472677,META,Mag 7
2017-06-27,325.9372333102531,META,Mag 7
2017-06-28,331.6949350157035,META,Mag 7
2017-06-29,326.93292908475524,META,Mag 7
2017-06-30,326.80309184455166,META,Mag 7
2017-07-03,321.28349708203916,META,Mag 7
2017-07-05,325.41778465357976,META,Mag 7
2017-07-06,322.1276219191039,META,Mag 7
2017-07-07,327.7987543871009,META,Mag 7
2017-07-10,332.25775137098583,META,Mag 7
2017-07-11,336.0889967635101,META,Mag 7
2017-07-12,343.94626002484057,META,Mag 7
2017-07-13,344.7254828577799,META,Mag 7
2017-07-14,346.2623277542364,META,Mag 7
2017-07-17,345.7428126336573,META,Mag 7
2017-07-18,352.517910578891,META,Mag 7
2017-07-19,355.2884917288818,META,Mag 7
2017-07-20,356.13271626180534,META,Mag 7
2017-07-21,355.9162433202424,META,Mag 7
2017-07-24,359.31457606159387,META,Mag 7
2017-07-25,357.75609716376226,META,Mag 7
2017-07-26,358.4703515286704,META,Mag 7
2017-07-27,368.92509069703783,META,Mag 7
2017-07-28,373.2758844420943,META,Mag 7
2017-07-31,366.34931525528185,META,Mag 7
2017-08-01,367.66972044212844,META,Mag 7
2017-08-02,366.4575517260633,META,Mag 7
2017-08-03,364.9207068296068,META,Mag 7
2017-08-04,367.15020532154927,META,Mag 7
2017-08-07,372.25852143426397,META,Mag 7
2017-08-08,370.63514053230705,META,Mag 7
2017-08-09,370.52687082957266,META,Mag 7
2017-08-10,362.3448649239449,META,Mag 7
2017-08-11,363.8168078162761,META,Mag 7
2017-08-14,369.5961102911487,META,Mag 7
2017-08-15,370.1373258770089,META,Mag 7
2017-08-16,367.97276262114474,META,Mag 7
2017-08-17,361.28430037727026,META,Mag 7
2017-08-18,362.3665653892259,META,Mag 7
2017-08-21,363.16745545549327,META,Mag 7
2017-08-22,367.1935397882054,META,Mag 7
2017-08-23,365.1804810058729,META,Mag 7
2017-08-24,363.0808862180399,META,Mag 7
2017-08-25,360.00722965707985,META,Mag 7
2017-08-28,361.99858797413134,META,Mag 7
2017-08-29,363.7518725801978,META,Mag 7
2017-08-30,367.79952445037907,META,Mag 7
2017-08-31,372.2368542009359,META,Mag 7
2017-09-01,372.34512390367036,META,Mag 7
2017-09-05,369.5312082870234,META,Mag 7
2017-09-06,372.496628377202,META,Mag 7
2017-09-07,374.9209658093323,META,Mag 7
2017-09-08,370.02902294232155,META,Mag 7
2017-09-11,375.5702517062091,META,Mag 7
2017-09-12,374.3798166873779,META,Mag 7
2017-09-13,374.5746223956128,META,Mag 7
2017-09-14,370.0506901756496,META,Mag 7
2017-09-15,371.52259983602784,META,Mag 7
2017-09-18,367.9943301586139,META,Mag 7
2017-09-19,373.427355683673,META,Mag 7
2017-09-20,372.6698000840617,META,Mag 7
2017-09-21,370.375366356041,META,Mag 7
2017-09-22,369.14156363860076,META,Mag 7
2017-09-25,352.5395113483131,META,Mag 7
2017-09-26,355.44002943436647,META,Mag 7
2017-09-27,362.95094928197744,META,Mag 7
2017-09-28,365.22374900862303,META,Mag 7
2017-09-29,369.8558844674148,META,Mag 7
2017-10-02,366.82552914115786,META,Mag 7
2017-10-03,367.88619338369136,META,Mag 7
2017-10-04,364.55269618255926,META,Mag 7
2017-10-05,370.65677453368215,META,Mag 7
2017-10-06,372.79967055621825,META,Mag 7
2017-10-09,373.3840876809228,META,Mag 7
2017-10-10,371.41439659719936,META,Mag 7
2017-10-11,373.90360280150196,META,Mag 7
2017-10-12,373.4923241517042,META,Mag 7
2017-10-13,376.0681328254132,META,Mag 7
2017-10-16,377.7565154273543,META,Mag 7
2017-10-17,381.19814940340893,META,Mag 7
2017-10-18,381.0249112326433,META,Mag 7
2017-10-19,377.8430846648077,META,Mag 7
2017-10-20,378.7521779699036,META,Mag 7
2017-10-23,370.72167653780747,META,Mag 7
2017-10-24,371.8689100177943,META,Mag 7
2017-10-25,369.27146734271025,META,Mag 7
2017-10-26,369.33636934683557,META,Mag 7
2017-10-27,385.0293283320273,META,Mag 7
2017-10-30,389.3367876104276,META,Mag 7
2017-10-31,389.74806626022536,META,Mag 7
2017-11-01,395.3758974935193,META,Mag 7
2017-11-02,387.28046082534485,META,Mag 7
2017-11-03,387.28046082534485,META,Mag 7
2017-11-06,389.9861067392574,META,Mag 7
2017-11-07,390.15931167807014,META,Mag 7
2017-11-08,388.6658012482697,META,Mag 7
2017-11-09,388.1030181249403,META,Mag 7
2017-11-10,386.28486474670154,META,Mag 7
2017-11-13,386.95581787690645,META,Mag 7
2017-11-14,385.440640213778,META,Mag 7
2017-11-15,385.180866037512,META,Mag 7
2017-11-16,388.730703252395,META,Mag 7
2017-11-17,387.4536325322046,META,Mag 7
2017-11-20,386.8908161769222,META,Mag 7
2017-11-21,393.6442136568749,META,Mag 7
2017-11-22,391.50135086629183,META,Mag 7
2017-11-24,395.6356052058794,META,Mag 7
2017-11-27,396.17672109588074,META,Mag 7
2017-11-28,394.85638237294006,META,Mag 7
2017-11-29,379.07688738224795,META,Mag 7
2017-11-30,383.5141506688989,META,Mag 7
2017-12-01,379.01191891421666,META,Mag 7
2017-12-04,371.15462242093326,META,Mag 7
2017-12-05,374.0984085097368,META,Mag 7
2017-12-06,381.08984646872153,META,Mag 7
2017-12-07,389.92123796708506,META,Mag 7
2017-12-08,387.4536325322046,META,Mag 7
2017-12-11,387.540201769658,META,Mag 7
2017-12-12,383.0380032469288,META,Mag 7
2017-12-13,385.9384881010291,META,Mag 7
2017-12-14,386.13329380926393,META,Mag 7
2017-12-15,390.0078404364914,META,Mag 7
2017-12-18,391.3931143955104,META,Mag 7
2017-12-19,388.5575315455353,META,Mag 7
2017-12-20,385.05102879730833,META,Mag 7
2017-12-21,384.09856779360337,META,Mag 7
2017-12-22,383.55745190360204,META,Mag 7
2017-12-26,380.9383752271429,META,Mag 7
2017-12-27,384.4665784406509,META,Mag 7
2017-12-28,385.1158975694807,META,Mag 7
2017-12-29,381.9556717710673,META,Mag 7
2018-01-02,392.6918191170759,META,Mag 7
2018-01-03,399.72665800662276,META,Mag 7
2018-01-04,398.99066994448066,META,Mag 7
2018-01-05,404.4453294709148,META,Mag 7
2018-01-08,407.5405535693441,META,Mag 7
2018-01-09,406.65316072952925,META,Mag 7
2018-01-10,406.5882254934509,META,Mag 7
2018-01-11,406.43672101991933,META,Mag 7
2018-01-12,388.2545558304249,META,Mag 7
2018-01-16,386.13329380926393,META,Mag 7
2018-01-17,384.4232439739948,META,Mag 7
2018-01-18,389.1853163688489,META,Mag 7
2018-01-19,392.4104441713877,META,Mag 7
2018-01-22,401.24180243779824,META,Mag 7
2018-01-23,409.8566545306929,META,Mag 7
2018-01-24,403.79597711013207,META,Mag 7
2018-01-25,405.80896942855867,META,Mag 7
2018-01-26,411.26362895499284,META,Mag 7
2018-01-29,402.56220762464477,META,Mag 7
2018-01-30,405.02977982757227,META,Mag 7
2018-01-31,404.53193194032116,META,Mag 7
2018-02-01,417.9520911988673,META,Mag 7
2018-02-02,411.8697133130254,META,Mag 7
2018-02-05,392.34547570335644,META,Mag 7
2018-02-06,401.11189873368875,META,Mag 7
2018-02-07,390.0078404364914,META,Mag 7
2018-02-08,371.39269613191834,META,Mag 7
2018-02-09,381.19814940340893,META,Mag 7
2018-02-12,381.8474685322388,META,Mag 7
2018-02-13,374.7910288732698,META,Mag 7
2018-02-14,388.5792320108163,META,Mag 7
2018-02-15,389.53162655061544,META,Mag 7
2018-02-16,383.90379531732145,META,Mag 7
2018-02-20,380.98164322989305,META,Mag 7
2018-02-21,385.09429680005854,META,Mag 7
2018-02-22,387.43203176278246,META,Mag 7
2018-02-23,396.7395374511631,META,Mag 7
2018-02-26,400.2894078979991,META,Mag 7
2018-02-27,392.7784548184352,META,Mag 7
2018-02-28,385.9817561037793,META,Mag 7
2018-03-01,380.83010552440845,META,Mag 7
2018-03-02,382.3020151847867,META,Mag 7
2018-03-05,390.4839878584615,META,Mag 7
2018-03-06,389.1419486702398,META,Mag 7
2018-03-07,397.6486639882119,META,Mag 7
2018-03-08,394.6832438980333,META,Mag 7
2018-03-09,400.938727026829,META,Mag 7
2018-03-12,399.92139725095166,META,Mag 7
2018-03-13,393.6875481235311,META,Mag 7
2018-03-14,398.68762776546436,META,Mag 7
2018-03-15,397.97334016860333,META,Mag 7
2018-03-16,400.63565161585973,META,Mag 7
2018-03-19,373.51395815307933,META,Mag 7
2018-03-20,363.9682790578548,META,Mag 7
2018-03-21,366.65235743429815,META,Mag 7
2018-03-22,356.91187263083873,META,Mag 7
2018-03-23,345.0068910354211,META,Mag 7
2018-03-26,346.4571999263772,META,Mag 7
2018-03-27,329.487136989042,META,Mag 7
2018-03-28,331.2404215951085,META,Mag 7
2018-03-29,345.87268310581385,META,Mag 7
2018-04-02,336.3487044758703,META,Mag 7
2018-04-03,337.9071833737019,META,Mag 7
2018-04-04,335.72098611646265,META,Mag 7
2018-04-05,344.89868779659264,META,Mag 7
2018-04-06,340.26655233780093,META,Mag 7
2018-04-09,341.8466320050547,META,Mag 7
2018-04-10,357.23661527513605,META,Mag 7
2018-04-11,360.00722965707985,META,Mag 7
2018-04-12,354.7041078361303,META,Mag 7
2018-04-13,356.11101579652427,META,Mag 7
2018-04-16,356.7820021586822,META,Mag 7
2018-04-17,365.07224453509144,META,Mag 7
2018-04-18,360.0937988945332,META,Mag 7
2018-04-19,363.86010905097925,META,Mag 7
2018-04-20,359.9206271876735,META,Mag 7
2018-04-23,358.96823264787446,META,Mag 7
2018-04-24,345.6562433962039,META,Mag 7
2018-04-25,345.6562433962039,META,Mag 7
2018-04-26,376.97729259441496,META,Mag 7
2018-04-27,375.7434566450218,META,Mag 7
2018-04-30,372.3018226689672,META,Mag 7
2018-05-01,376.3278737697263,META,Mag 7
2018-05-02,381.11154693400255,META,Mag 7
2018-05-03,376.67421718344576,META,Mag 7
2018-05-04,382.28038118341163,META,Mag 7
2018-05-07,385.2241672722151,META,Mag 7
2018-05-08,387.28046082534485,META,Mag 7
2018-05-09,395.3758974935193,META,Mag 7
2018-05-10,401.5881126195647,META,Mag 7
2018-05-11,404.74837164993113,META,Mag 7
2018-05-14,403.9907828183669,META,Mag 7
2018-05-15,398.96903594310555,META,Mag 7
2018-05-16,396.5447317429282,META,Mag 7
2018-05-17,397.7568672270404,META,Mag 7
2018-05-18,395.41916549626944,META,Mag 7
