Days_From_Peak,Indexed_Price,Ticker
-788,3.749267844045700,Amazon (1997-2002)
-787,3.7297340014007300,Amazon (1997-2002)
-786,3.6760447063755700,Amazon (1997-2002)
-785,3.397774044772520,Amazon (1997-2002)
-784,3.397774044772520,Amazon (1997-2002)
-781,3.5832877260604800,Amazon (1997-2002)
-780,4.149576975318220,Amazon (1997-2002)
-779,4.237459992607490,Amazon (1997-2002)
-778,4.217926149962520,Amazon (1997-2002)
-777,4.710992540892350,Amazon (1997-2002)
-774,4.003130699977970,Amazon (1997-2002)
-773,4.637769403222220,Amazon (1997-2002)
-772,5.052719698185260,Amazon (1997-2002)
-771,4.80374924186522,Amazon (1997-2002)
-770,4.764700551846140,Amazon (1997-2002)
-767,4.754933630523660,Amazon (1997-2002)
-766,4.647536045202490,Amazon (1997-2002)
-765,4.569420228577920,Amazon (1997-2002)
-764,4.369265383599440,Amazon (1997-2002)
-763,4.198392586659780,Amazon (1997-2002)
-760,3.94454844665614,Amazon (1997-2002)
-759,3.700452232704140,Amazon (1997-2002)
-758,3.5344721147189200,Amazon (1997-2002)
-757,3.6174621737115300,Amazon (1997-2002)
-756,3.90548104070843,Amazon (1997-2002)
-753,4.100761643318870,Amazon (1997-2002)
-752,4.139810333337950,Amazon (1997-2002)
-751,4.227693071285010,Amazon (1997-2002)
-750,4.296042245929310,Amazon (1997-2002)
-749,4.20815950798226,Amazon (1997-2002)
-746,3.964063294030260,Amazon (1997-2002)
-745,3.9396554883594700,Amazon (1997-2002)
-744,3.9933637786554800,Amazon (1997-2002)
-742,3.866432350689350,Amazon (1997-2002)
-739,4.003130699977970,Amazon (1997-2002)
-738,3.96895625232692,Amazon (1997-2002)
-737,4.09099472199639,Amazon (1997-2002)
-736,4.217926149962520,Amazon (1997-2002)
-735,4.3058091672518000,Amazon (1997-2002)
-732,4.4132067525729700,Amazon (1997-2002)
-731,4.39367318927022,Amazon (1997-2002)
-730,4.227693071285010,Amazon (1997-2002)
-729,4.39367318927022,Amazon (1997-2002)
-728,4.256974839981600,Amazon (1997-2002)
-725,4.296042245929310,Amazon (1997-2002)
-724,4.178877739285660,Amazon (1997-2002)
-723,4.115402527667170,Amazon (1997-2002)
-722,4.022645547352080,Amazon (1997-2002)
-721,4.217926149962520,Amazon (1997-2002)
-718,4.403440110592700,Amazon (1997-2002)
-717,4.335090935948390,Amazon (1997-2002)
-716,4.315557093303430,Amazon (1997-2002)
-714,4.237459992607490,Amazon (1997-2002)
-711,4.452255442592050,Amazon (1997-2002)
-710,4.545012422907140,Amazon (1997-2002)
-709,4.7061185778665300,Amazon (1997-2002)
-707,4.647536045202490,Amazon (1997-2002)
-704,4.452255442592050,Amazon (1997-2002)
-703,4.535245501584650,Amazon (1997-2002)
-702,4.481555927217270,Amazon (1997-2002)
-701,4.325324014625910,Amazon (1997-2002)
-700,3.9933637786554800,Amazon (1997-2002)
-697,4.032412468674560,Amazon (1997-2002)
-696,4.354624499251140,Amazon (1997-2002)
-695,4.569420228577920,Amazon (1997-2002)
-694,4.64264336624804,Amazon (1997-2002)
-693,4.491304132611130,Amazon (1997-2002)
-689,4.64264336624804,Amazon (1997-2002)
-688,4.754933630523660,Amazon (1997-2002)
-687,4.8135161631877000,Amazon (1997-2002)
