quote_date,description,item_id,price,item_name
1997-09-01,BACON-BACK-PER KG,210808,6.1477947,Bacon
1997-09-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5515908,Eggs
1997-09-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.084558,Mushrooms
1997-09-01,FRESH VEG-TOMATOES-PER KG,212515,1.1044478,Tomatoes
1997-09-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.74276316,Bread
1997-09-01,SAUSAGES-PORK-PER KG,211014,3.0888178,Sausages
1997-10-01,BACON-BACK-PER KG,210808,6.033951,Bacon
1997-10-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5589411,Eggs
1997-10-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.041427,Mushrooms
1997-10-01,FRESH VEG-TOMATOES-PER KG,212515,1.1957058,Tomatoes
1997-10-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7392073,Bread
1997-10-01,SAUSAGES-PORK-PER KG,211014,3.1070583,Sausages
1997-11-01,BACON-BACK-PER KG,210808,6.0256305,Bacon
1997-11-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5442046,Eggs
1997-11-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.039262,Mushrooms
1997-11-01,FRESH VEG-TOMATOES-PER KG,212515,1.1115574,Tomatoes
1997-11-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.731,Bread
1997-11-01,SAUSAGES-PORK-PER KG,211014,3.0780263,Sausages
1997-12-01,BACON-BACK-PER KG,210808,5.8928204,Bacon
1997-12-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5697646,Eggs
1997-12-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.0028884,Mushrooms
1997-12-01,FRESH VEG-TOMATOES-PER KG,212515,1.1834373,Tomatoes
1997-12-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7274342,Bread
1997-12-01,SAUSAGES-PORK-PER KG,211014,3.1035752,Sausages
1998-01-01,BACON-BACK-PER KG,210808,5.8075314,Bacon
1998-01-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5751462,Eggs
1998-01-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.0615952,Mushrooms
1998-01-01,FRESH VEG-TOMATOES-PER KG,212515,1.2401841,Tomatoes
1998-01-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.72589403,Bread
1998-01-01,SAUSAGES-PORK-PER KG,211014,3.0794914,Sausages
1998-02-01,BACON-BACK-PER KG,210808,5.701367,Bacon
1998-02-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5416176,Eggs
1998-02-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.101531,Mushrooms
1998-02-01,FRESH VEG-TOMATOES-PER KG,212515,1.180589,Tomatoes
1998-02-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7469444,Bread
1998-02-01,SAUSAGES-PORK-PER KG,211014,3.0979602,Sausages
1998-03-01,BACON-BACK-PER KG,210808,5.648266,Bacon
1998-03-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5561152,Eggs
1998-03-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.068363,Mushrooms
1998-03-01,FRESH VEG-TOMATOES-PER KG,212515,1.2878906,Tomatoes
1998-03-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.72307694,Bread
1998-03-01,SAUSAGES-PORK-PER KG,211014,3.1306384,Sausages
1998-04-01,BACON-BACK-PER KG,210808,5.590037,Bacon
1998-04-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5051825,Eggs
1998-04-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.9871159,Mushrooms
1998-04-01,FRESH VEG-TOMATOES-PER KG,212515,1.3923198,Tomatoes
1998-04-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7221774,Bread
1998-04-01,SAUSAGES-PORK-PER KG,211014,3.1152136,Sausages
1998-05-01,BACON-BACK-PER KG,210808,5.4241114,Bacon
